code,airport_name
ATT,Atmautluak Airport
ATU,Casco Cove Coast Guard Station
ATV,Ati Airport
ATW,Appleton International Airport
ATX,Atbasar Airport
ATY,Watertown Regional Airport
ATZ,Assiut Airport
AUA,Queen Beatrix International Airport
AUC,Santiago Pérez Quiroz Airport
AUD,Augustus Downs Airport
AUE,Abu Rudeis Airport
AUF,Auxerre – Branches Aerodrome
AUG,Augusta State Airport
AUH,Abu Dhabi International Airport
AUI,Aua Island Airport
AUJ,Ambunti Airport
AUK,Alakanuk Airport
AUL,Aur Airport
AUM,Austin Municipal Airport
AUN,Auburn Municipal Airport
AUO,Auburn University Regional Airport
AUP,Agaun Airport
AUQ,Atuona Airport
AUR,Aurillac – Tronquières Airport
AUS,Austin–Bergstrom International Airport
AUT,Atauro Airport
AUU,Aurukun Airport
AUV,Aumo Airport
AUW,Wausau Downtown Airport
AUX,Araguaína Airport
AUY,Anatom Airport
AUZ,Aurora Municipal Airport
AVA,Anshun Huangguoshu Airport
AVB,Aviano Air Base
AVG,Auvergne Airport
AVI,Máximo Gómez Airport
AVK,Arvaikheer Airport
AVL,Asheville Regional Airport
AVN,Avignon – Provence Airport
AVO,Avon Park Executive Airport
AVP,Wilkes-Barre/Scranton International Airport
AVU,Avu Avu Airport
AVV,Avalon Airport
AVW,Marana Regional Airport
AVX,Catalina Airport
AWA,Awasa Airport
AWB,Awaba Airport
AWD,Aniwa Airport
AWE,Alowe Airport
AWK,Wake Island Airfield
AWM,West Memphis Municipal Airport
AWN,Alton Downs Airport
AWP,Austral Downs Airport
AWR,Awar Airport
AWZ,Ahvaz International Airport
AXA,Clayton J. Lloyd International Airport
AXB,Maxson Airfield
AXC,Aramac Airport
AXD,Alexandroupoli Airport
AXE,Xanxere Airport
AXF,Alxa Left Banner Bayanhot Airport
AXG,Algona Municipal Airport
AXJ,Amakusa Airfield
AXK,Ataq Airport
AXL,Alexandria Airport
AXM,El Edén International Airport
AXN,Alexandria Municipal Airport
AXP,Spring Point Airport
AXR,Arutua Airport
AXS,Altus/Quartz Mountain Regional Airport
AXT,Akita Airport
AXU,Axum Airport
AXV,Neil Armstrong Airport
AXX,Angel Fire Airport
AYA,Ayapel Airport
AYC,Ayacucho Airport
AYD,Alroy Downs Airport
AYG,Yaguara Airport
AYI,Yari Airport
AYK,Arkalyk Airport
AYL,Anthony Lagoon Airport
AYM,Yas Island Seaplane Base
AYN,Anyang Airport
